Prefix|Status|OriginAS|ROAAS|ROAPrefix|MaxLen
45.5.68.0/22|INVALID_WRONGASN|27843|265691|45.5.68.0/22|22
45.5.68.0/24|INVALID_WRONGASN|27843|265691|45.5.68.0/22|22
45.5.69.0/24|INVALID_WRONGASN|27843|265691|45.5.68.0/22|22
45.5.70.0/24|INVALID_WRONGASN|27843|265691|45.5.68.0/22|22
45.5.71.0/24|INVALID_WRONGASN|27843|265691|45.5.68.0/22|22
45.65.137.0/24|INVALID_MAXLEN|262186|262186|45.65.136.0/22|22
45.160.12.0/22|INVALID_WRONGASN|61503|266870|45.160.12.0/22|24
45.160.12.0/24|INVALID_WRONGASN|61503|266870|45.160.12.0/22|24
45.160.13.0/24|INVALID_WRONGASN|61503|266870|45.160.12.0/22|24
45.160.14.0/24|INVALID_WRONGASN|61503|266870|45.160.12.0/22|24
45.160.15.0/24|INVALID_WRONGASN|61503|266870|45.160.12.0/22|24
45.161.44.0/24|INVALID_MAXLEN|266902|266902|45.161.44.0/22|22
45.161.45.0/24|INVALID_MAXLEN|266902|266902|45.161.44.0/22|22
45.161.46.0/24|INVALID_MAXLEN|266902|266902|45.161.44.0/22|22
45.161.47.0/24|INVALID_MAXLEN|266902|266902|45.161.44.0/22|22
45.162.72.0/22|INVALID_WRONGASN|264668|266904|45.162.72.0/22|24
45.163.31.0/24|INVALID_WRONGASN|267683|3356|45.163.31.0/24|24
45.163.248.0/24|INVALID_MAXLEN|267707|267707|45.163.248.0/22|22
45.163.249.0/24|INVALID_MAXLEN|267707|267707|45.163.248.0/22|22
45.163.250.0/24|INVALID_MAXLEN|267707|267707|45.163.248.0/22|22
45.163.251.0/24|INVALID_MAXLEN|267707|267707|45.163.248.0/22|22
45.164.67.0/24|INVALID_WRONGASN|27738|267699|45.164.64.0/22|22
45.224.202.0/24|INVALID_WRONGASN|264686|266907|45.224.202.0/24|24
45.225.152.0/24|INVALID_MAXLEN|32034|32034|45.225.152.0/23|23
45.225.153.0/24|INVALID_WRONGASN|265515|32034|45.225.152.0/23|23
45.227.254.0/24|INVALID_WRONGASN|51852|395978|45.227.254.0/24|24
45.229.168.0/24|INVALID_MAXLEN|266694|266694|45.229.168.0/22|22
45.229.169.0/24|INVALID_MAXLEN|266694|266694|45.229.168.0/22|22
45.229.170.0/24|INVALID_MAXLEN|266694|266694|45.229.168.0/22|22
45.229.171.0/24|INVALID_MAXLEN|266694|266694|45.229.168.0/22|22
45.229.248.0/24|INVALID_MAXLEN|266707|266707|45.229.248.0/22|22
45.229.249.0/24|INVALID_MAXLEN|266707|266707|45.229.248.0/22|22
45.229.250.0/24|INVALID_MAXLEN|266707|266707|45.229.248.0/22|22
45.229.251.0/24|INVALID_MAXLEN|266707|266707|45.229.248.0/22|22
45.235.142.0/23|INVALID_WRONGASN|27947|27947|45.235.140.0/22|22
45.238.197.0/24|INVALID_MAXLEN|266848|266848|45.238.196.0/22|22
45.238.218.0/24|INVALID_WRONGASN|27947|27947|45.238.216.0/22|22
45.239.120.0/22|INVALID_WRONGASN|61503|266852|45.239.120.0/22|24
45.239.121.0/24|INVALID_WRONGASN|61503|266852|45.239.120.0/22|24
45.239.122.0/24|INVALID_WRONGASN|61503|266852|45.239.120.0/22|24
45.239.123.0/24|INVALID_WRONGASN|61503|266852|45.239.120.0/22|24
45.239.208.0/22|INVALID_WRONGASN|61503|266857|45.239.208.0/22|24
45.239.209.0/24|INVALID_WRONGASN|61503|266857|45.239.208.0/22|24
45.239.210.0/24|INVALID_WRONGASN|61503|266857|45.239.208.0/22|24
45.239.211.0/24|INVALID_WRONGASN|61503|266857|45.239.208.0/22|24
128.201.80.0/24|INVALID_MAXLEN|265741|265741|128.201.80.0/22|22
128.201.81.0/24|INVALID_MAXLEN|265741|265741|128.201.80.0/22|22
128.201.82.0/24|INVALID_MAXLEN|265741|265741|128.201.80.0/22|22
128.201.83.0/24|INVALID_MAXLEN|265741|265741|128.201.80.0/22|22
131.108.170.0/24|INVALID_MAXLEN|10299|10299|131.108.168.0/22|22
131.108.171.0/24|INVALID_MAXLEN|10299|10299|131.108.168.0/22|22
138.0.158.0/24|INVALID_WRONGASN|52236|7303|138.0.156.0/22|22
138.59.134.0/24|INVALID_WRONGASN|54044|28110|138.59.132.0/22|24
138.59.176.0/24|INVALID_MAXLEN|263686|263686|138.59.176.0/22|22
138.59.177.0/24|INVALID_MAXLEN|263686|263686|138.59.176.0/22|22
138.59.178.0/24|INVALID_MAXLEN|263686|263686|138.59.176.0/22|22
138.59.179.0/24|INVALID_MAXLEN|263686|263686|138.59.176.0/22|22
138.94.244.0/24|INVALID_MAXLEN|16906|16906|138.94.244.0/22|22
138.94.245.0/24|INVALID_MAXLEN|16906|16906|138.94.244.0/22|22
138.94.246.0/24|INVALID_MAXLEN|16906|16906|138.94.244.0/22|22
138.94.247.0/24|INVALID_WRONGASN|265840|16906|138.94.244.0/22|22
138.118.144.0/24|INVALID_WRONGASN|266749|263770|138.118.144.0/22|24
138.118.145.0/24|INVALID_WRONGASN|266749|263770|138.118.144.0/22|24
138.118.146.0/24|INVALID_WRONGASN|266749|263770|138.118.144.0/22|24
138.118.147.0/24|INVALID_WRONGASN|266749|263770|138.118.144.0/22|24
138.121.240.0/23|INVALID_MAXLEN|7303|7303|138.121.240.0/22|22
138.121.242.0/24|INVALID_MAXLEN|7303|7303|138.121.240.0/22|22
138.122.200.0/23|INVALID_MAXLEN|10299|10299|138.122.200.0/22|22
138.122.200.0/24|INVALID_WRONGASN|266747|10299|138.122.200.0/22|22
138.122.201.0/24|INVALID_MAXLEN|10299|10299|138.122.200.0/22|22
138.122.202.0/24|INVALID_MAXLEN|10299|10299|138.122.200.0/22|22
138.122.203.0/24|INVALID_MAXLEN|10299|10299|138.122.200.0/22|22
138.122.228.0/24|INVALID_MAXLEN|27955|27955|138.122.228.0/22|22
138.122.229.0/24|INVALID_MAXLEN|27955|27955|138.122.228.0/22|22
138.122.230.0/24|INVALID_MAXLEN|27955|27955|138.122.228.0/22|22
138.122.231.0/24|INVALID_MAXLEN|27955|27955|138.122.228.0/22|22
138.255.89.0/24|INVALID_WRONGASN|49835|264607|138.255.88.0/22|27
150.186.96.0/19|INVALID_MAXLEN|27686|27807|150.186.0.0/15|16
150.187.40.0/24|INVALID_WRONGASN|20312|27807|150.186.0.0/15|16
152.207.108.0/22|INVALID_MAXLEN|27725|27725|152.206.0.0/15|17
152.207.112.0/22|INVALID_MAXLEN|27725|27725|152.206.0.0/15|17
152.207.240.0/22|INVALID_MAXLEN|27725|27725|152.206.0.0/15|17
152.207.244.0/22|INVALID_MAXLEN|27725|27725|152.206.0.0/15|17
152.231.27.0/24|INVALID_WRONGASN|19429|266877|152.231.24.0/21|21
161.22.36.0/24|INVALID_WRONGASN|9009|12679|161.22.36.0/24|24
164.163.80.0/24|INVALID_MAXLEN|265769|265769|164.163.80.0/22|22
164.163.81.0/24|INVALID_MAXLEN|265769|265769|164.163.80.0/22|22
164.163.82.0/24|INVALID_MAXLEN|265769|265769|164.163.80.0/22|22
164.163.83.0/24|INVALID_MAXLEN|265769|265769|164.163.80.0/22|22
167.250.50.0/24|INVALID_MAXLEN|263767|263767|167.250.48.0/22|22
167.250.120.0/23|INVALID_MAXLEN|262220|262220|167.250.120.0/22|22
167.250.122.0/23|INVALID_MAXLEN|262220|262220|167.250.120.0/22|22
168.90.160.0/24|INVALID_MAXLEN|27955|27955|168.90.160.0/22|22
168.90.161.0/24|INVALID_MAXLEN|27955|27955|168.90.160.0/22|22
168.90.162.0/24|INVALID_MAXLEN|27955|27955|168.90.160.0/22|22
168.90.163.0/24|INVALID_MAXLEN|27955|27955|168.90.160.0/22|22
